MoveNumber,Player,PlayerRating,FEN,SAN,UCI,Result
3,White,1386,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3,g1f3,1-0
4,Black,1509,rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d5,d7d5,1-0
5,White,1386,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,exd5,e4d5,1-0
6,Black,1509,rnbqkbnr/ppp2ppp/4p3/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,exd5,e6d5,1-0
7,White,1386,rnbqkbnr/ppp2ppp/8/3p4/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4,d4,d2d4,1-0
8,Black,1509,rnbqkbnr/ppp2ppp/8/3p4/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,Nf6,g8f6,1-0
9,White,1386,rnbqkb1r/ppp2ppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 5,Nc3,b1c3,1-0
10,Black,1509,rnbqkb1r/ppp2ppp/5n2/3p4/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 2 5,h6,h7h6,1-0
11,White,1386,rnbqkb1r/ppp2pp1/5n1p/3p4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 6,Bb5+,f1b5,1-0
12,Black,1509,rnbqkb1r/ppp2pp1/5n1p/1B1p4/3P4/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 6,c6,c7c6,1-0
13,White,1386,rnbqkb1r/pp3pp1/2p2n1p/1B1p4/3P4/2N2N2/PPP2PPP/R1BQK2R w KQkq - 0 7,Bd3,b5d3,1-0
14,Black,1509,rnbqkb1r/pp3pp1/2p2n1p/3p4/3P4/2NB1N2/PPP2PPP/R1BQK2R b KQkq - 1 7,Bd6,f8d6,1-0
15,White,1386,rnbqk2r/pp3pp1/2pb1n1p/3p4/3P4/2NB1N2/PPP2PPP/R1BQK2R w KQkq - 2 8,h3,h2h3,1-0
16,Black,1509,rnbqk2r/pp3pp1/2pb1n1p/3p4/3P4/2NB1N1P/PPP2PP1/R1BQK2R b KQkq - 0 8,O-O,e8g8,1-0
17,White,1386,rnbq1rk1/pp3pp1/2pb1n1p/3p4/3P4/2NB1N1P/PPP2PP1/R1BQK2R w KQ - 1 9,O-O,e1g1,1-0
18,Black,1509,rnbq1rk1/pp3pp1/2pb1n1p/3p4/3P4/2NB1N1P/PPP2PP1/R1BQ1RK1 b - - 2 9,Be6,c8e6,1-0
19,White,1386,rn1q1rk1/pp3pp1/2pbbn1p/3p4/3P4/2NB1N1P/PPP2PP1/R1BQ1RK1 w - - 3 10,Bd2,c1d2,1-0
20,Black,1509,rn1q1rk1/pp3pp1/2pbbn1p/3p4/3P4/2NB1N1P/PPPB1PP1/R2Q1RK1 b - - 4 10,Qc8,d8c8,1-0
21,White,1386,rnq2rk1/pp3pp1/2pbbn1p/3p4/3P4/2NB1N1P/PPPB1PP1/R2Q1RK1 w - - 5 11,Qc1,d1c1,1-0
22,Black,1509,rnq2rk1/pp3pp1/2pbbn1p/3p4/3P4/2NB1N1P/PPPB1PP1/R1Q2RK1 b - - 6 11,Bxh3,e6h3,1-0
23,White,1386,rnq2rk1/pp3pp1/2pb1n1p/3p4/3P4/2NB1N1b/PPPB1PP1/R1Q2RK1 w - - 0 12,gxh3,g2h3,1-0
24,Black,1509,rnq2rk1/pp3pp1/2pb1n1p/3p4/3P4/2NB1N1P/PPPB1P2/R1Q2RK1 b - - 0 12,Qxh3,c8h3,1-0
25,White,1386,rn3rk1/pp3pp1/2pb1n1p/3p4/3P4/2NB1N1q/PPPB1P2/R1Q2RK1 w - - 0 13,Bf4,d2f4,1-0
26,Black,1509,rn3rk1/pp3pp1/2pb1n1p/3p4/3P1B2/2NB1N1q/PPP2P2/R1Q2RK1 b - - 1 13,Bb4,d6b4,1-0
27,White,1386,rn3rk1/pp3pp1/2p2n1p/3p4/1b1P1B2/2NB1N1q/PPP2P2/R1Q2RK1 w - - 2 14,Bg3,f4g3,1-0
28,Black,1509,rn3rk1/pp3pp1/2p2n1p/3p4/1b1P4/2NB1NBq/PPP2P2/R1Q2RK1 b - - 3 14,Ne4,f6e4,1-0
29,White,1386,rn3rk1/pp3pp1/2p4p/3p4/1b1Pn3/2NB1NBq/PPP2P2/R1Q2RK1 w - - 4 15,Ne2,c3e2,1-0
30,Black,1509,rn3rk1/pp3pp1/2p4p/3p4/1b1Pn3/3B1NBq/PPP1NP2/R1Q2RK1 b - - 5 15,Nxg3,e4g3,1-0
31,White,1386,rn3rk1/pp3pp1/2p4p/3p4/1b1P4/3B1Nnq/PPP1NP2/R1Q2RK1 w - - 0 16,fxg3,f2g3,1-0
32,Black,1509,rn3rk1/pp3pp1/2p4p/3p4/1b1P4/3B1NPq/PPP1N3/R1Q2RK1 b - - 0 16,Bd6,b4d6,1-0
33,White,1386,rn3rk1/pp3pp1/2pb3p/3p4/3P4/3B1NPq/PPP1N3/R1Q2RK1 w - - 1 17,Qe1,c1e1,1-0
34,Black,1509,rn3rk1/pp3pp1/2pb3p/3p4/3P4/3B1NPq/PPP1N3/R3QRK1 b - - 2 17,Re8,f8e8,1-0
35,White,1386,rn2r1k1/pp3pp1/2pb3p/3p4/3P4/3B1NPq/PPP1N3/R3QRK1 w - - 3 18,Qf2,e1f2,1-0
36,Black,1509,rn2r1k1/pp3pp1/2pb3p/3p4/3P4/3B1NPq/PPP1NQ2/R4RK1 b - - 4 18,Nd7,b8d7,1-0
37,White,1386,r3r1k1/pp1n1pp1/2pb3p/3p4/3P4/3B1NPq/PPP1NQ2/R4RK1 w - - 5 19,Qh2,f2h2,1-0
38,Black,1509,r3r1k1/pp1n1pp1/2pb3p/3p4/3P4/3B1NPq/PPP1N2Q/R4RK1 b - - 6 19,Qe6,h3e6,1-0
39,White,1386,r3r1k1/pp1n1pp1/2pbq2p/3p4/3P4/3B1NP1/PPP1N2Q/R4RK1 w - - 7 20,Rfe1,f1e1,1-0
40,Black,1509,r3r1k1/pp1n1pp1/2pbq2p/3p4/3P4/3B1NP1/PPP1N2Q/R3R1K1 b - - 8 20,Qf6,e6f6,1-0
41,White,1386,r3r1k1/pp1n1pp1/2pb1q1p/3p4/3P4/3B1NP1/PPP1N2Q/R3R1K1 w - - 9 21,Qg2,h2g2,1-0
42,Black,1509,r3r1k1/pp1n1pp1/2pb1q1p/3p4/3P4/3B1NP1/PPP1N1Q1/R3R1K1 b - - 10 21,c5,c6c5,1-0
43,White,1386,r3r1k1/pp1n1pp1/3b1q1p/2pp4/3P4/3B1NP1/PPP1N1Q1/R3R1K1 w - - 0 22,c3,c2c3,1-0
44,Black,1509,r3r1k1/pp1n1pp1/3b1q1p/2pp4/3P4/2PB1NP1/PP2N1Q1/R3R1K1 b - - 0 22,cxd4,c5d4,1-0
45,White,1386,r3r1k1/pp1n1pp1/3b1q1p/3p4/3p4/2PB1NP1/PP2N1Q1/R3R1K1 w - - 0 23,Nfxd4,f3d4,1-0
46,Black,1509,r3r1k1/pp1n1pp1/3b1q1p/3p4/3N4/2PB2P1/PP2N1Q1/R3R1K1 b - - 0 23,Bc5,d6c5,1-0
47,White,1386,r3r1k1/pp1n1pp1/5q1p/2bp4/3N4/2PB2P1/PP2N1Q1/R3R1K1 w - - 1 24,Qxd5,g2d5,1-0
48,Black,1509,r3r1k1/pp1n1pp1/5q1p/2bQ4/3N4/2PB2P1/PP2N3/R3R1K1 b - - 0 24,Rad8,a8d8,1-0
49,White,1386,3rr1k1/pp1n1pp1/5q1p/2bQ4/3N4/2PB2P1/PP2N3/R3R1K1 w - - 1 25,Qxb7,d5b7,1-0
50,Black,1509,3rr1k1/pQ1n1pp1/5q1p/2b5/3N4/2PB2P1/PP2N3/R3R1K1 b - - 0 25,Bxd4+,c5d4,1-0
51,White,1386,3rr1k1/pQ1n1pp1/5q1p/8/3b4/2PB2P1/PP2N3/R3R1K1 w - - 0 26,Nxd4,e2d4,1-0
